,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
2,2,3299,2.0,93.4377,0.162997,2.584233,0.02276572,0.916342,0.7690816,-0.9201321,2.244357,-0.0002803332,0.8236205,0.3151498,0.7831816
9,9,3107,4.0,90.3056,0.2077033,1.871722,0.02402543,0.9901465,0.7856142,-0.2443346,2.172877,1.800807e-05,1.146602,0.3765016,0.6490554
11,11,2778,8.0,90.5036,0.2077033,1.871722,0.02402543,0.9901465,0.7856142,-0.2443346,2.024224,5.675361e-05,1.110917,0.3765016,0.6490554
15,15,4704,8.0,93.6367,0.1805131,2.302329,0.02164471,1.028378,0.8013961,-0.227241,2.528242,-0.0004412144,1.242436,0.315775,0.7761068
18,18,4885,10.0,94.8151,0.1979979,1.911808,0.02297953,1.00494,0.7919244,-1.065545,2.112394,-0.0004623666,0.8486447,0.3533822,0.6561979
19,19,883,9.0,94.1531,0.1979979,1.911808,0.02297953,1.00494,0.7919244,-1.065545,2.658698,-0.0005041966,1.029588,0.3533822,0.6561979
24,24,2664,17.0,92.2078,0.2126809,1.895763,0.0225766,0.8640727,0.7958503,-1.467989,2.331227,2.462774e-05,1.024603,0.3724502,0.6324856
25,25,698,5.0,91.0069,0.1976204,2.339642,0.02338001,0.8183166,0.804911,-0.8189854,2.457856,4.609355e-05,1.010794,0.3421064,0.7422967
30,30,4604,1.0,92.188,0.2145119,1.795367,0.02235337,0.8412704,0.6830197,-0.5742465,2.405205,0.0003741631,0.9461532,0.5091132,0.5696644
32,32,1704,9.0,90.8652,0.2145119,1.795367,0.02235337,0.8412704,0.6830197,-0.5742465,2.483038,0.0001639281,0.952171,0.5091132,0.5696644
33,33,3424,8.0,91.1136,0.2145119,1.795367,0.02235337,0.8412704,0.6830197,-0.5742465,3.018838,0.000215894,0.9799765,0.5091132,0.5696644
35,35,1480,4.0,90.4003,0.2145119,1.795367,0.02235337,0.8412704,0.6830197,-0.5742465,2.737725,-8.895007e-06,1.073512,0.5091132,0.5696644
36,36,2874,3.0,90.5337,0.1991545,1.85985,0.02017346,0.8382086,0.6525505,-0.1119812,2.796172,-7.868e-06,1.07261,0.516582,0.5666536
38,38,4052,4.0,90.7812,0.1991545,1.85985,0.02017346,0.8382086,0.6525505,-0.1119812,2.849732,5.489646e-05,1.19715,0.516582,0.5666536
39,39,3385,4.0,90.9141,0.1900927,2.14493,0.02089527,0.8154158,0.6906187,0.06804027,2.904941,6.339385e-05,1.189756,0.4437158,0.6421494
40,40,2753,11.0,91.5042,0.1900927,2.14493,0.02089527,0.8154158,0.6906187,0.06804027,2.702616,0.0001717027,1.213172,0.4437158,0.6421494
42,42,941,13.0,93.6524,0.2340317,1.785931,0.02075698,0.703983,0.7081825,0.3042285,3.114575,5.706722e-05,0.8717592,0.5093149,0.5667918
49,49,599,8.0,91.8997,0.2356874,1.965306,0.01959606,0.7296691,0.7474848,-0.6649745,2.558896,-0.0002319273,0.9475212,0.4580496,0.6435715
50,50,4284,28.0,92.405,0.2356874,1.965306,0.01959606,0.7296691,0.7474848,-0.6649745,2.821029,-1.68361e-05,0.8285759,0.4580496,0.6435715
51,51,959,9.0,92.6466,0.2356874,1.965306,0.01959606,0.7296691,0.7474848,-0.6649745,2.194449,0.0002348199,0.8557103,0.4580496,0.6435715
55,55,2144,1.0,91.848,0.2356874,1.965306,0.01959606,0.7296691,0.7474848,-0.6649745,2.966623,-0.0001402379,1.05448,0.4580496,0.6435715
59,59,3669,1.0,91.8881,0.1639603,2.493312,0.02094193,0.7752507,0.7531047,-1.173325,2.87222,-3.811254e-05,0.9378405,0.3271461,0.711316
65,65,1978,21.0,91.0284,0.162994,2.747229,0.02224935,0.8210463,0.7989936,-0.8104138,2.13118,4.21462e-05,0.846005,0.2911814,0.8236549
67,67,143,4.0,92.945,0.09409918,3.348238,0.02027657,1.09987,0.7243969,-0.01380503,2.119291,-2.663551e-06,0.863343,0.2191895,0.8719567
71,71,629,5.0,90.7571,0.1704046,2.271,0.02111153,0.9451985,0.7757306,-0.471779,2.328752,0.0001683134,0.9738192,0.3193314,0.7057368
72,72,2361,6.0,91.6858,0.1136186,2.990659,0.02013621,1.03499,0.7659394,-0.8737138,2.323482,0.0001513536,0.990715,0.2290905,0.8203672
76,76,2256,4.0,93.4297,0.1541863,2.198917,0.02186789,1.193148,0.6688167,0.03264877,2.069016,0.0004048185,0.8535925,0.3950191,0.6816115
78,78,4069,4.0,92.83,0.1541863,2.198917,0.02186789,1.193148,0.6688167,0.03264877,2.17181,0.0004104174,1.134869,0.3950191,0.6816115
83,83,1380,2.0,91.3694,0.1657981,1.905871,0.02105822,1.16418,0.6691234,0.1042254,2.214757,-0.0002736726,1.136409,0.4187838,0.6093673
90,90,3050,2.0,91.9069,0.1269148,2.919415,0.02304725,0.8184357,0.6782739,-1.052761,2.632984,-0.0001210904,1.114082,0.3273652,0.7445988
92,92,3553,5.0,92.1498,0.1269148,2.919415,0.02304725,0.8184357,0.6782739,-1.052761,2.955705,-0.0001169508,0.9899976,0.3273652,0.7445988
93,93,4446,1.0,93.1326,0.1080454,2.951178,0.02305972,0.8738377,0.6438703,-1.445536,2.905917,-0.0001055875,0.9917228,0.3177982,0.6904134
94,94,3378,11.0,94.5693,0.07456078,3.907286,0.023397,0.8053449,0.6870225,-1.789342,2.955792,-9.64642e-05,0.9581572,0.2089024,0.8471605
107,107,1319,5.0,92.5937,0.1206759,2.490588,0.02263559,1.235812,0.6959188,-1.087049,2.15687,-0.0001862692,1.183571,0.2972429,0.694424
114,114,4691,2.0,92.9767,0.1288766,2.206799,0.02235873,1.253171,0.6750644,-0.9496791,2.349647,-0.0001780684,1.1439,0.3332796,0.6289577
129,129,1475,6.0,92.2892,0.1919304,1.843722,0.02357561,0.9405029,0.6911783,-0.5563017,2.796303,-0.0003892953,0.9959109,0.4524549,0.5757965
135,135,575,2.0,92.1056,0.2151855,1.843441,0.02434609,0.9593425,0.7199219,-0.4458683,2.50772,-3.301114e-05,1.27339,0.4634024,0.6208569
136,136,690,6.0,91.4019,0.2151855,1.843441,0.02434609,0.9593425,0.7199219,-0.4458683,2.594655,-6.873375e-06,1.203424,0.4634024,0.6208569
137,137,3101,3.0,90.7032,0.2082764,1.976068,0.0255259,0.8856892,0.7570768,-0.3176796,2.489942,-4.99687e-05,1.161478,0.409038,0.6371115
