,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
0,0,19306,7.0,92.2568,0.1141134,2.994245,0.02167729,1.101243,0.7572214,0.01802701,2.118487,1.178148e-05,0.9783493,0.2379466,0.8357528
1,1,15227,3.0,93.3912,0.1141134,2.994245,0.02167729,1.101243,0.7572214,0.01802701,2.294229,-0.000310023,0.8255588,0.2379466,0.8357528
3,3,19679,1.0,94.4281,0.1814806,2.191528,0.02236673,0.8491161,0.7276781,-1.260426,2.232933,-0.0002728536,0.8263376,0.3861861,0.6550002
6,6,19377,4.0,91.6358,0.1811041,1.859189,0.02460403,1.035326,0.7053932,-0.520015,2.038639,0.000152613,0.9122654,0.414712,0.5875767
10,10,17716,37.0,90.1425,0.2077033,1.871722,0.02402543,0.9901465,0.7856142,-0.2443346,2.061491,6.663149e-05,1.099228,0.3765016,0.6490554
12,12,18258,5.0,90.9305,0.2077033,1.871722,0.02402543,0.9901465,0.7856142,-0.2443346,2.068486,1.388477e-05,1.192821,0.3765016,0.6490554
17,17,19764,6.0,94.7108,0.1979979,1.911808,0.02297953,1.00494,0.7919244,-1.065545,2.464439,-0.000445846,1.249934,0.3533822,0.6561979
21,21,19840,4.0,93.6498,0.2126809,1.895763,0.0225766,0.8640727,0.7958503,-1.467989,2.908513,-7.523032e-05,1.200904,0.3724502,0.6324856
23,23,19644,34.0,93.2223,0.2126809,1.895763,0.0225766,0.8640727,0.7958503,-1.467989,2.074197,-7.318759e-05,1.038174,0.3724502,0.6324856
27,27,15833,11.0,91.6277,0.2135262,1.894414,0.02157576,0.8000711,0.6722205,0.07550255,2.746018,8.411358e-05,0.821728,0.5217001,0.5865094
37,37,15820,1.0,90.7949,0.1991545,1.85985,0.02017346,0.8382086,0.6525505,-0.1119812,2.557285,-0.0002026736,1.105985,0.516582,0.5666536
41,41,19732,23.0,90.572,0.1900927,2.14493,0.02089527,0.8154158,0.6906187,0.06804027,3.117717,3.416429e-05,0.8841827,0.4437158,0.6421494
44,44,19148,25.0,90.2615,0.228112,2.024561,0.02176925,0.7149424,0.762131,-0.5355946,3.027348,-2.699054e-05,0.9744024,0.4313129,0.6448891
47,47,19798,2.0,92.0466,0.2356874,1.965306,0.01959606,0.7296691,0.7474848,-0.6649745,2.670958,0.0002132327,1.099765,0.4580496,0.6435715
63,63,15989,1.0,90.8758,0.162994,2.747229,0.02224935,0.8210463,0.7989936,-0.8104138,2.949271,1.537841e-05,1.088936,0.2911814,0.8236549
64,64,16639,10.0,91.0962,0.162994,2.747229,0.02224935,0.8210463,0.7989936,-0.8104138,2.694454,-3.147334e-05,0.8677236,0.2911814,0.8236549
66,66,19645,11.0,90.087,0.1361153,2.798121,0.02173195,0.9789937,0.7310272,-0.3070302,2.125033,1.615638e-05,0.8543397,0.2965779,0.7997519
68,68,19723,3.0,91.9219,0.09409918,3.348238,0.02027657,1.09987,0.7243969,-0.01380503,2.341785,-0.0001880511,0.9443614,0.2191895,0.8719567
69,69,15271,4.0,90.9882,0.1704046,2.271,0.02111153,0.9451985,0.7757306,-0.471779,2.283549,-0.0001734927,0.9323226,0.3193314,0.7057368
70,70,17838,1.0,90.4053,0.1704046,2.271,0.02111153,0.9451985,0.7757306,-0.471779,2.527926,-7.346577e-05,1.02603,0.3193314,0.7057368
73,73,15195,5.0,91.9613,0.1662457,2.220942,0.02214197,1.037988,0.8100014,-0.4132828,2.295256,0.0001481017,0.9744229,0.2881133,0.7132493
74,74,16245,1.0,92.266,0.133047,2.816055,0.0241241,1.172744,0.7779794,-0.334744,2.277,0.0001359658,0.9827177,0.2607431,0.8672136
80,80,15212,8.0,92.2561,0.1657981,1.905871,0.02105822,1.16418,0.6691234,0.1042254,2.204361,0.0001765064,1.282503,0.4187838,0.6093673
82,82,19046,8.0,90.2721,0.1657981,1.905871,0.02105822,1.16418,0.6691234,0.1042254,2.483008,-0.0001223692,1.048216,0.4187838,0.6093673
88,88,16879,3.0,91.77,0.1069782,3.185416,0.02238247,1.002563,0.6737186,-0.6461777,2.688982,-7.926234e-05,1.150828,0.2864194,0.8185432
