,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
89,89,17222,2.0,91.289,0.161966,2.285451,0.02214231,0.8558478,0.6790006,-0.6976352,2.653755,-0.000115208,1.158018,0.4007281,0.6368282
91,91,18635,2.0,92.6672,0.1269148,2.919415,0.02304725,0.8184357,0.6782739,-1.052761,2.60574,-0.0002277151,1.001759,0.3273652,0.7445988
98,98,16484,2.0,94.3392,0.1281385,2.985063,0.02448456,0.7527175,0.7143649,-1.557069,2.40443,-3.275529e-07,1.130147,0.3003372,0.7542105
99,99,15831,1.0,93.9022,0.1578512,2.394594,0.02451443,0.8397782,0.7068458,-1.49009,2.413004,-1.781508e-07,1.189736,0.3662898,0.6549234
108,108,15017,1.0,93.4869,0.1206759,2.490588,0.02263559,1.235812,0.6959188,-1.087049,2.263958,-5.091103e-05,1.282913,0.2972429,0.694424
109,109,18577,3.0,93.6337,0.1206759,2.490588,0.02263559,1.235812,0.6959188,-1.087049,2.446719,6.287533e-05,1.245175,0.2972429,0.694424
115,115,16486,7.0,92.8709,0.1288766,2.206799,0.02235873,1.253171,0.6750644,-0.9496791,2.439014,-0.0001716198,1.157324,0.3332796,0.6289577
117,117,18020,1.0,92.2089,0.1615437,1.907055,0.02203943,1.204502,0.702414,-0.3112569,2.864752,-0.0002674901,1.068532,0.3733942,0.6197073
122,122,19183,13.0,92.8462,0.180868,2.069631,0.0244374,1.014868,0.7396983,0.1435517,2.849803,0.0002502576,0.7797658,0.3764018,0.6575677
123,123,15851,17.0,92.5706,0.180868,2.069631,0.0244374,1.014868,0.7396983,0.1435517,2.921652,0.0002564759,0.805927,0.3764018,0.6575677
126,126,15154,1.0,91.6499,0.180868,2.069631,0.0244374,1.014868,0.7396983,0.1435517,2.452542,-0.0003310762,0.9820131,0.3764018,0.6575677
127,127,17670,1.0,91.973,0.180868,2.069631,0.0244374,1.014868,0.7396983,0.1435517,2.903392,-0.000164044,0.9653366,0.3764018,0.6575677
130,130,17993,4.0,90.7199,0.1919304,1.843722,0.02357561,0.9405029,0.6911783,-0.5563017,2.856764,-0.0001532759,1.02194,0.4524549,0.5757965
147,147,18591,9.0,91.3016,0.1351775,2.632926,0.02564068,1.114159,0.7278983,-0.5149689,2.465065,-3.856651e-05,0.7852988,0.3047403,0.7544268
148,148,17906,6.0,90.2534,0.1351775,2.632926,0.02564068,1.114159,0.7278983,-0.5149689,2.222373,-0.0001213344,0.9523356,0.3047403,0.7544268
152,152,16544,1.0,89.8844,0.1169382,3.286207,0.02460638,1.020414,0.7815414,-0.2776573,2.400147,5.16959e-05,1.009561,0.2327883,0.9328342
154,154,18741,3.0,91.4152,0.1836386,2.412483,0.02265604,0.8075466,0.7969321,-0.2261459,2.428958,2.062391e-05,0.9080036,0.3258361,0.7379809
156,156,15548,7.0,89.928,0.1496257,2.764913,0.02272379,0.8795326,0.8086912,-0.6462969,2.669079,0.0001472978,0.999014,0.2645237,0.8100289
157,157,19486,4.0,89.725,0.1312842,2.966133,0.02172871,0.9662486,0.7895347,-0.4306104,2.70654,0.0001828126,1.005076,0.2464961,0.8598684
161,161,15947,1.0,90.4164,0.0724529,4.302268,0.02394091,1.023267,0.8152489,-1.157136,2.754517,-0.0001206253,0.9122014,0.1460028,1.093106
170,170,17231,2.0,92.6283,0.08421136,3.495138,0.02320862,1.20968,0.7510186,-1.245057,3.077933,8.868717e-05,1.003068,0.1915932,0.8857988
174,174,16641,7.0,91.7536,0.1227829,2.697233,0.02025629,1.119196,0.7173003,-1.10334,2.59721,8.186659e-05,0.8889852,0.2792572,0.7613854
180,180,19424,3.0,92.0575,0.1209219,2.711163,0.02103386,1.044031,0.676097,-1.256072,2.352426,0.0002179926,1.14222,0.3119617,0.7195597
184,184,16602,4.0,90.4791,0.1689032,2.400385,0.02039452,0.9587681,0.7784025,-0.6889237,2.35746,-0.0002870105,1.054488,0.3134817,0.7583384
190,190,19325,1.0,92.3269,0.1851991,1.963259,0.01998441,0.8644633,0.7196461,-0.7050934,2.604731,-4.743e-05,1.075961,0.3974348,0.6017936
194,194,16162,1.0,92.2924,0.1935684,2.283549,0.02381542,0.7878316,0.7433082,-0.8954968,2.269731,-5.395947e-05,1.209403,0.3946157,0.6880083
197,197,17932,2.0,92.3657,0.1542554,2.68709,0.0233294,0.8107688,0.7225034,-1.06882,2.280789,4.657713e-05,1.15621,0.3414275,0.7493503
199,199,17499,1.0,93.0766,0.1440201,2.442171,0.02353474,1.110737,0.6640334,-0.8380808,2.168171,2.115391e-05,1.149881,0.3814551,0.7028438
203,203,19840,9.0,93.986,0.109339,2.988994,0.02460282,1.165529,0.673491,-1.168236,2.094857,0.0003310396,1.223837,0.2967127,0.7874577
204,204,18030,1.0,93.3791,0.109339,2.988994,0.02460282,1.165529,0.673491,-1.168236,2.401674,0.0002749231,1.045748,0.2967127,0.7874577
205,205,15318,1.0,93.6205,0.109339,2.988994,0.02460282,1.165529,0.673491,-1.168236,2.285932,0.0003235096,0.9640033,0.2967127,0.7874577
209,209,17155,25.0,95.2287,0.1598002,1.950281,0.025308,1.155766,0.6829276,-1.247087,2.041998,-0.0004508363,0.8432145,0.3982767,0.5948725
212,212,15592,1.0,99.276,0.1400226,2.119804,0.02445646,1.080247,0.6889051,-1.561141,2.400458,-0.0004158491,1.208615,0.3479279,0.5835448
216,216,17981,9.0,92.7047,0.1393528,2.677995,0.02540145,0.9927084,0.7260859,-1.424598,2.048415,0.0002365781,1.046927,0.3137295,0.7467842
231,231,18266,15.0,91.9273,0.1770175,2.157754,0.0259225,0.9589034,0.6864453,0.06330193,2.203772,-0.000415197,1.052202,0.432048,0.6398525
232,232,15840,6.0,91.2363,0.1770175,2.157754,0.0259225,0.9589034,0.6864453,0.06330193,2.078493,-0.000139574,1.091359,0.432048,0.6398525
251,251,15101,1.0,93.6814,0.2430787,1.961226,0.02074644,0.7962676,0.8168082,-0.7011592,2.532925,0.0003591657,0.7811316,0.3964013,0.6860968
256,256,19830,5.0,91.0815,0.2430787,1.961226,0.02074644,0.7962676,0.8168082,-0.7011592,2.079435,0.000125043,1.000306,0.3964013,0.6860968
265,265,17522,5.0,92.1025,0.2094765,1.899676,0.02140518,0.8557313,0.7335536,-1.033632,2.053691,0.0001609127,0.9459948,0.4302647,0.615267
267,267,15890,2.0,90.6063,0.1895079,1.951398,0.01986277,0.962811,0.7320977,-0.8352064,2.045371,0.0001513198,0.9285829,0.3918427,0.6366544
268,268,17278,1.0,91.2834,0.1895079,1.951398,0.01986277,0.962811,0.7320977,-0.8352064,2.309734,0.0001231208,0.8814008,0.3918427,0.6366544
272,272,17172,4.0,91.7813,0.1764578,2.101694,0.02057809,1.003882,0.7730266,-0.2912368,2.563885,0.0002150733,0.8690717,0.3308064,0.6819542
274,274,15017,1.0,91.0125,0.1764578,2.101694,0.02057809,1.003882,0.7730266,-0.2912368,2.244157,-9.410459e-05,1.078174,0.3308064,0.6819542
281,281,15248,21.0,90.9997,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.553222,0.0002098532,1.075587,0.1546878,1.064033
284,284,17268,1.0,93.8296,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.606842,0.0004806629,0.9647855,0.1546878,1.064033
289,289,19411,1.0,92.0036,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.781079,0.0002986216,0.9027222,0.1546878,1.064033
294,294,16485,6.0,91.6113,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.849993,0.0002908498,0.9873887,0.1546878,1.064033
295,295,15668,11.0,91.2849,0.08615412,4.024202,0.01960132,0.9023752,0.8078968,-1.165238,2.860589,0.0002922756,0.968278,0.1630152,1.080887
299,299,19529,9.0,91.1132,0.08615412,4.024202,0.01960132,0.9023752,0.8078968,-1.165238,2.473875,0.0002732356,0.9279378,0.1630152,1.080887
302,302,17722,15.0,89.8941,0.1163429,3.253983,0.01902531,0.9279162,0.8008205,-0.6586392,2.51832,4.665015e-05,0.9105543,0.212084,0.9234006
305,305,18180,17.0,90.2496,0.1163429,3.253983,0.01902531,0.9279162,0.8008205,-0.6586392,2.931146,0.0002409091,1.020594,0.212084,0.9234006
309,309,16770,4.0,90.0964,0.1405766,2.906024,0.02195772,0.874865,0.8144952,-0.4240418,3.073826,6.008449e-05,0.9142725,0.245972,0.8400923
310,310,15863,19.0,89.6983,0.1405766,2.906024,0.02195772,0.874865,0.8144952,-0.4240418,3.111008,-4.433019e-05,0.9958891,0.245972,0.8400923
313,313,18975,5.0,91.5064,0.1126202,3.278069,0.0240405,0.9987989,0.7761905,-0.579882,2.592162,5.397398e-05,1.209909,0.2279026,0.8994089
314,314,19963,2.0,91.7057,0.1126202,3.278069,0.0240405,0.9987989,0.7761905,-0.579882,2.571465,0.0001024138,1.215703,0.2279026,0.8994089
317,317,19906,2.0,91.3132,0.1126202,3.278069,0.0240405,0.9987989,0.7761905,-0.579882,3.075488,0.0002639975,1.169335,0.2279026,0.8994089
321,321,19676,1.0,91.8859,0.165023,2.419042,0.02614089,0.8937445,0.7398146,-0.3349219,2.730058,-0.0003562553,0.8959449,0.3504459,0.6958914
332,332,18977,2.0,91.06,0.1471329,2.893945,0.02195005,0.8395865,0.7984963,-0.9671856,2.616278,-0.0002816308,0.9772309,0.2661983,0.8426431
337,337,17037,5.0,91.4872,0.2186243,1.897231,0.02220584,0.8478017,0.7808394,-0.08512227,2.548179,0.0002074956,1.159233,0.3960476,0.6343325
338,338,19226,1.0,91.1794,0.1925304,2.103286,0.02280673,0.931041,0.7789761,-0.5083689,2.530307,0.0002108617,1.180766,0.3559326,0.6829018
339,339,18798,6.0,91.6697,0.2044713,1.913894,0.02346643,1.006866,0.8154206,0.1509754,2.449587,0.0001925421,1.154269,0.3437783,0.6736288
342,342,15246,1.0,91.1444,0.1807176,2.271495,0.02306784,1.014966,0.789618,0.2833117,2.494015,0.0001970125,1.137775,0.3278761,0.7491191
355,355,18383,5.0,91.3402,0.2149299,1.915717,0.02070689,0.8630934,0.7652108,-0.260496,2.634913,-0.0002585493,0.8933974,0.4035213,0.6412671
363,363,17058,2.0,92.9853,0.1418552,2.827979,0.02326666,1.031921,0.724158,-0.07879807,2.01604,-0.0002488207,0.9957985,0.3161031,0.8403871
368,368,15544,4.0,89.3321,0.1613225,2.573266,0.02213131,0.9673055,0.7848765,-0.5510814,2.169031,-5.268455e-05,1.033813,0.2988452,0.8003356
375,375,15895,1.0,92.1048,0.1225836,2.957772,0.02147703,1.006965,0.6946484,-0.3736957,2.186434,-0.0002691838,1.037709,0.2998836,0.8117363
379,379,18764,1.0,91.1304,0.1405639,2.392242,0.0209165,1.036056,0.6424505,-0.3248495,2.915582,-0.0002383341,1.01913,0.392798,0.6611339
382,382,18222,4.0,93.1815,0.1538194,2.259922,0.02027673,0.9126426,0.6410686,0.1804207,2.847625,-0.0002950504,1.167177,0.4251909,0.6230733
395,395,16296,5.0,92.5451,0.0997006,3.185201,0.02255065,0.9812894,0.6665749,-0.1274572,2.670705,-0.0001819645,1.081838,0.2765908,0.7715022
398,398,19405,4.0,92.3294,0.0978194,3.345589,0.02260083,0.9665476,0.6841668,0.1721306,2.310806,-0.0001205167,1.0684,0.258638,0.8242518
399,399,16565,2.0,92.338,0.09899044,3.160592,0.02085562,0.9788093,0.6536715,0.06135311,2.34281,-0.0001204562,1.067433,0.2819893,0.7661716
404,404,18379,7.0,93.0693,0.1232413,2.629116,0.01916489,0.9824792,0.6942755,-0.901839,2.167984,-8.363595e-05,0.8803695,0.2967735,0.6971868
405,405,19657,4.0,93.958,0.1375948,2.500548,0.01985476,0.9243115,0.7178912,-1.194871,2.15776,-7.907074e-05,0.9022298,0.3067591,0.6848771
407,407,15949,2.0,91.5179,0.1601158,2.181114,0.02261302,1.09635,0.7500317,-0.5398928,2.326673,-0.0003011736,1.075945,0.3259689,0.6848358
412,412,16288,1.0,95.8852,0.1512565,2.095431,0.01919028,1.022689,0.6965477,-0.2467326,2.437471,-0.0004644325,1.005488,0.3526348,0.6143939
413,413,19931,3.0,95.2227,0.1512565,2.095431,0.01919028,1.022689,0.6965477,-0.2467326,2.490576,-0.000309987,0.9071488,0.3526348,0.6143939
416,416,19510,2.0,91.9265,0.1717787,2.050299,0.01979205,0.9083768,0.6907544,-0.1926547,2.278801,-9.8963e-05,1.061988,0.4028466,0.6094351
418,418,17764,5.0,92.3289,0.2069195,1.870802,0.01886435,0.8539846,0.705937,0.5139034,2.266729,-0.000114248,1.030859,0.4543582,0.6042213
423,423,19326,2.0,93.4189,0.1895272,2.112938,0.01996872,0.908181,0.7803747,0.5605984,2.926472,-4.545212e-05,0.9565525,0.3450664,0.6856282
430,430,18034,3.0,90.57,0.1530403,2.802396,0.01896455,0.8773734,0.8074103,0.1978784,2.699911,9.192904e-05,1.05426,0.2648351,0.8586506
433,433,19081,1.0,93.3966,0.193787,2.153672,0.02052229,0.7898926,0.72553,-0.03536249,2.953196,0.0003738504,0.956341,0.4083511,0.6547437
435,435,18430,7.0,92.3648,0.193787,2.153672,0.02052229,0.7898926,0.72553,-0.03536249,2.727776,0.0001316816,0.7699619,0.4083511,0.6547437
441,441,16832,6.0,92.6118,0.09592092,3.463473,0.02060735,1.061242,0.7251681,-0.4209857,2.917081,0.0001389812,0.8230108,0.2228168,0.9194493
449,449,19356,1.0,92.4536,0.1277478,2.248813,0.01916166,1.220596,0.6772769,-0.2754544,2.301674,-5.825791e-05,1.029451,0.3216749,0.6466657
451,451,16604,7.0,92.1923,0.1274216,2.270852,0.01943593,1.211262,0.6733638,-0.2644621,2.41453,1.033831e-05,1.03194,0.32531,0.647379
456,456,15602,3.0,92.9682,0.1526437,2.15546,0.02006604,1.064912,0.7082395,-0.745578,2.611007,0.0001994726,1.242697,0.3455996,0.6475683
458,458,17840,3.0,91.9096,0.1526437,2.15546,0.02006604,1.064912,0.7082395,-0.745578,2.704671,4.76777e-05,1.155822,0.3455996,0.6475683
460,460,19231,7.0,91.7682,0.1141742,2.812494,0.01974831,1.008665,0.680064,-0.09720646,2.802251,5.851013e-05,1.101967,0.290963,0.7282486
462,462,18816,1.0,93.72,0.1723307,1.83383,0.02231448,1.098044,0.6855697,0.7997635,2.650713,3.381851e-05,1.075841,0.415504,0.5834916
463,463,17458,2.0,95.0606,0.1383015,2.184893,0.02171823,1.158244,0.7111216,0.4058448,2.655412,3.660406e-05,1.091587,0.3177098,0.6383084
465,465,19682,3.0,95.3198,0.1383015,2.184893,0.02171823,1.158244,0.7111216,0.4058448,2.793373,-2.064206e-05,1.15996,0.3177098,0.6383084
472,472,16416,1.0,91.9171,0.1097183,3.039971,0.022497,1.055736,0.7072651,-0.5864901,3.057413,-2.3745e-05,1.245548,0.2656,0.7981635
474,474,18014,2.0,92.8774,0.08269305,3.655535,0.02318187,1.05818,0.6600589,-0.7658419,3.10362,-1.453145e-05,1.250111,0.2444904,0.871063
475,475,19056,2.0,93.562,0.07137334,3.74893,0.02169428,1.158411,0.6604295,-1.246776,3.083038,-2.246588e-05,1.277306,0.2148529,0.8576759
476,476,16127,4.0,93.356,0.07137334,3.74893,0.02169428,1.158411,0.6604295,-1.246776,3.120498,-9.621767e-06,1.294696,0.2148529,0.8576759
477,477,15991,13.0,94.1601,0.06907233,3.939183,0.02267901,1.167139,0.6680095,-1.341227,3.100373,-1.01402e-05,1.305257,0.2070549,0.9149575
479,479,17280,9.0,92.4102,0.06907233,3.939183,0.02267901,1.167139,0.6680095,-1.341227,2.917638,5.296925e-05,0.8353905,0.2070549,0.9149575
484,484,15082,8.0,90.7818,0.06907233,3.939183,0.02267901,1.167139,0.6680095,-1.341227,2.178979,-0.0001704778,1.033714,0.2070549,0.9149575
492,492,17390,1.0,92.7175,0.06957642,3.96219,0.02023875,1.171279,0.7128465,-0.5321264,2.284016,-0.0002336751,0.8561331,0.1780169,0.9664548
503,503,16873,4.0,89.9219,0.108908,3.094218,0.01914428,1.088805,0.7119159,-0.8714406,2.156473,-8.411143e-05,0.9148171,0.253927,0.8524521
513,513,18993,3.0,93.7047,0.1958596,1.77665,0.01923257,1.086657,0.8199452,-0.6090491,2.875553,-0.0002981421,0.8232671,0.3208881,0.6591178
515,515,18760,6.0,92.5904,0.1958596,1.77665,0.01923257,1.086657,0.8199452,-0.6090491,2.679946,-0.0002480191,1.013975,0.3208881,0.6591178
516,516,19601,2.0,92.9286,0.1826307,1.856268,0.01990432,1.191679,0.8055314,0.09780567,2.643127,-0.0002590925,0.97446,0.3131225,0.689916
522,522,17243,1.0,92.8675,0.1409308,2.500171,0.02003771,1.219891,0.7840007,-0.08847298,2.853577,0.000135805,0.9317569,0.2629314,0.8145894
530,530,18462,5.0,92.7191,0.1835664,1.981461,0.01975414,0.972261,0.7812088,-0.6895793,2.571483,0.0003467518,0.99091,0.3342111,0.6520126
531,531,18620,3.0,92.2573,0.1952292,2.188248,0.02174719,0.830506,0.8087599,-0.8564241,2.587522,0.0003593137,1.006769,0.332706,0.6955817
539,539,15991,1.0,90.0174,0.202398,2.085519,0.02143199,0.8911515,0.7959939,-0.5441872,2.873844,-0.0001305439,1.085443,0.3542802,0.691866
549,549,19761,1.0,91.7316,0.09303041,3.550916,0.01897784,1.056197,0.8000447,-1.53491,3.023001,-0.0001619706,0.9547427,0.1759997,0.9672941
561,561,17634,1.0,91.7566,0.1995174,2.00907,0.02359617,0.9748297,0.7842366,-0.9350615,2.604308,-0.0002412751,1.086637,0.3638177,0.676614
564,564,16637,2.0,92.6651,0.2094223,1.763741,0.0239892,0.9384997,0.8019671,-1.070266,2.827026,0.0001438483,0.9529796,0.3639202,0.6059276
565,565,19825,7.0,92.0332,0.2106795,2.156539,0.02521752,0.7205762,0.7892505,-1.005327,2.927854,0.000167154,0.9432486,0.3797319,0.6581584
577,577,17874,2.0,90.3128,0.1788791,2.010449,0.02254344,0.9866429,0.6863229,-0.4847669,2.540225,-0.0002087473,0.9620439,0.4289808,0.6182976
580,580,18234,1.0,90.8817,0.1778307,1.84794,0.02024834,1.154018,0.7073766,0.07711105,2.297518,1.299167e-05,0.9330578,0.3971433,0.6298431
585,585,19793,6.0,90.6364,0.1638242,1.955853,0.01930668,1.10763,0.6722197,-0.6070608,2.567922,7.605527e-05,1.099859,0.4066905,0.6138273
598,598,16717,7.0,92.3715,0.09143151,3.416809,0.0201261,1.209297,0.7263393,-0.6363383,2.854333,-0.0001249116,1.149495,0.212677,0.9265955
600,600,19204,14.0,92.8824,0.06635943,3.955641,0.02037931,1.163959,0.691504,-1.302003,3.085954,6.316198e-05,1.242405,0.1827414,0.9192929
604,604,17493,7.0,93.4611,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.161221,-0.0001700643,1.135614,0.1308396,1.077649
606,606,16696,1.0,93.5268,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.089213,1.570851e-05,1.027306,0.1308396,1.077649
610,610,15895,1.0,93.9853,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.519329,0.0003675039,1.07252,0.1308396,1.077649
613,613,15366,1.0,93.4417,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.698351,0.0002390347,0.9721852,0.1308396,1.077649
617,617,17881,1.0,92.4405,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.58472,7.760829e-05,0.9074575,0.1308396,1.077649
625,625,18496,14.0,93.3943,0.05545258,4.573195,0.02004159,1.073966,0.6955801,-2.14164,2.304406,-0.0002693843,1.005152,0.1573653,1.054131
626,626,18867,3.0,93.8878,0.05639349,4.573646,0.02159882,1.001275,0.7270445,-2.281605,2.304173,-0.000258807,1.014808,0.1487654,1.029627
629,629,18162,3.0,92.8225,0.06210545,4.406027,0.02077963,1.132916,0.7254629,-1.844453,2.356838,-0.0002353892,1.124519,0.1587113,1.081673
630,630,19870,2.0,92.1524,0.06210545,4.406027,0.02077963,1.132916,0.7254629,-1.844453,2.334702,-7.914661e-05,1.129189,0.1587113,1.081673
632,632,17669,1.0,92.4337,0.05412891,4.487232,0.02098732,1.156378,0.690964,-1.672832,2.598735,0.0001791868,1.12,0.1586833,1.005824
637,637,18913,1.0,94.1347,0.0680696,3.807459,0.02128585,1.277402,0.6867131,-1.643796,2.830167,-0.0001685352,1.23955,0.190849,0.899436
644,644,19411,24.0,92.6305,0.0680696,3.807459,0.02128585,1.277402,0.6867131,-1.643796,2.023303,0.0002415915,1.096502,0.190849,0.899436
660,660,16858,4.0,92.0611,0.06436344,4.222738,0.02053222,1.087296,0.740855,-1.27313,2.469754,-2.856779e-05,1.125391,0.1558482,1.004094
663,663,19613,1.0,92.6099,0.06469597,4.394257,0.02303253,1.03356,0.7024432,-1.468352,2.663563,0.0001135103,0.8894713,0.1790999,1.045038
672,672,18441,7.0,91.2086,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.649586,-0.0001298696,0.996912,0.1663189,0.987887
675,675,18977,8.0,92.8589,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.093679,-4.446174e-05,1.235661,0.1663189,0.987887
676,676,18283,1.0,92.0755,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.470925,-0.0002351466,1.090369,0.1663189,0.987887
678,678,19199,10.0,91.4416,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.627735,-0.0001617153,0.9873223,0.1663189,0.987887
681,681,19304,1.0,93.0083,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.005624,-0.000216939,1.165948,0.1663189,0.987887
682,682,18209,10.0,91.4915,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.467155,-6.892046e-05,1.122538,0.1663189,0.987887
695,695,16366,9.0,93.6818,0.08107119,3.825843,0.02075482,1.024895,0.6537302,-1.030026,3.070291,-5.278405e-05,1.188995,0.239773,0.9443662
697,697,17268,1.0,90.8132,0.1252282,2.815793,0.02363164,0.9939857,0.655227,-0.2769361,2.99936,-5.391645e-05,1.156363,0.3482323,0.738653
702,702,19275,3.0,90.8319,0.1147101,2.909183,0.02220332,1.079896,0.6468824,-0.5025038,2.641889,6.464974e-05,0.8925126,0.3287258,0.7620586
708,708,18311,2.0,90.9104,0.1218241,2.62038,0.02416613,1.180407,0.688727,-0.2912649,2.3905,5.266085e-05,0.9262683,0.3091302,0.7166243
710,710,15420,3.0,90.3756,0.1218241,2.62038,0.02416613,1.180407,0.688727,-0.2912649,2.364732,0.0001244674,1.014893,0.3091302,0.7166243
721,721,18653,7.0,94.3658,0.07089938,3.562318,0.02140927,1.159333,0.6416435,-0.5906873,2.986026,0.0001264025,1.118407,0.2257745,0.775515
724,724,15854,2.0,93.4537,0.09752201,3.41489,0.02000478,0.9959738,0.6877268,-0.7177266,3.045798,0.0003338043,1.056765,0.2498496,0.8815776
726,726,18607,12.0,92.5249,0.07730663,3.829323,0.02004864,0.9506783,0.6661602,-0.7056923,3.104709,0.0003439441,1.047743,0.220834,0.9006041
735,735,19084,10.0,89.9862,0.08978918,3.674802,0.01907847,0.9774781,0.7733037,-0.9581206,3.093168,2.375427e-05,0.9598675,0.1831305,0.9648646
740,740,15540,4.0,91.1136,0.09166764,3.543954,0.02018065,0.9756524,0.7253703,-1.30587,3.001765,-0.0001369195,0.94544,0.213798,0.8998266
744,744,16428,12.0,93.1866,0.1077715,3.026309,0.01886426,1.1171,0.7263003,-1.46712,3.021598,-7.15687e-05,0.991315,0.2412833,0.8338753
745,745,15986,3.0,92.6659,0.1071934,3.161303,0.01896583,1.012538,0.7219616,-1.530127,3.077132,-5.95049e-05,0.9898056,0.2432779,0.8492528
