,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
242,242,5084,2.0,91.1735,0.1872953,1.761554,0.02546268,1.083964,0.6938934,-0.5559218,2.784979,0.0001694482,0.9117444,0.4432137,0.5759657
243,243,6050,1.0,91.5389,0.1973357,1.792648,0.02370638,0.9459313,0.697776,-0.08395384,2.865564,0.0001734951,0.8768165,0.4553094,0.5720055
248,248,7177,1.0,94.74,0.2003427,2.139436,0.01902213,0.8226269,0.7677503,-0.9298465,2.730692,0.0004734911,0.8616256,0.3732505,0.6875423
249,249,9345,4.0,94.3287,0.2003427,2.139436,0.01902213,0.8226269,0.7677503,-0.9298465,2.623797,0.0003743279,0.7702005,0.3732505,0.6875423
250,250,8202,2.0,93.7897,0.2186436,1.972909,0.01964853,0.8903208,0.8130835,-0.2627996,2.534137,0.0003530025,0.7467974,0.3614197,0.6915919
253,253,9415,7.0,91.761,0.2430787,1.961226,0.02074644,0.7962676,0.8168082,-0.7011592,2.263664,0.0003503718,1.053214,0.3964013,0.6860968
259,259,7754,2.0,89.5341,0.2348955,1.828225,0.02143967,0.8932909,0.7880287,-0.2317955,2.278626,0.0001650973,0.9772384,0.4138225,0.6534611
282,282,5576,2.0,91.8695,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.532891,0.0003033662,0.9023407,0.1546878,1.064033
287,287,8305,1.0,91.219,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.849098,0.0001509453,0.970363,0.1546878,1.064033
291,291,6553,1.0,93.4161,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.061806,0.0003338668,0.8304304,0.1546878,1.064033
307,307,8097,6.0,91.0401,0.1163429,3.253983,0.01902531,0.9279162,0.8008205,-0.6586392,3.120363,5.596261e-05,0.9170203,0.212084,0.9234006
308,308,9540,6.0,90.1968,0.1504719,2.691611,0.02139837,0.8981684,0.8006875,-0.3167312,3.064762,5.489816e-05,0.9090128,0.269091,0.7962812
315,315,6626,8.0,89.4513,0.1126202,3.278069,0.0240405,0.9987989,0.7761905,-0.579882,2.874187,4.094974e-05,1.012695,0.2279026,0.8994089
318,318,8494,5.0,90.6446,0.1126202,3.278069,0.0240405,0.9987989,0.7761905,-0.579882,3.064944,-7.995476e-05,1.179436,0.2279026,0.8994089
319,319,7658,11.0,90.8595,0.1139792,3.114357,0.02581406,1.015377,0.7569651,-0.5864874,3.043237,-7.488081e-05,1.181774,0.245093,0.8257392
320,320,7372,8.0,92.0327,0.1139792,3.114357,0.02581406,1.015377,0.7569651,-0.5864874,2.724088,-0.0003582739,0.9040154,0.245093,0.8257392
331,331,7466,1.0,90.9235,0.1432619,2.923178,0.02093152,0.8891557,0.7825788,-0.2932519,2.618753,-0.0002926994,0.9360274,0.2691534,0.8630339
335,335,7578,4.0,91.7891,0.2186243,1.897231,0.02220584,0.8478017,0.7808394,-0.08512227,2.223764,0.0001708545,1.041085,0.3960476,0.6343325
336,336,8535,11.0,90.8898,0.2186243,1.897231,0.02220584,0.8478017,0.7808394,-0.08512227,2.605834,9.260815e-05,1.135656,0.3960476,0.6343325
340,340,5229,1.0,91.5887,0.1719657,2.19072,0.0232833,1.102789,0.751995,0.2680357,2.477738,0.000194804,1.136664,0.346409,0.717402
341,341,7684,2.0,92.1339,0.1751492,2.414818,0.02229982,0.971378,0.7981255,-0.2950854,2.527018,0.0002050103,1.167077,0.3109761,0.7800024
343,343,9544,1.0,90.4165,0.1807176,2.271495,0.02306784,1.014966,0.789618,0.2833117,2.612029,-4.24072e-05,1.039003,0.3278761,0.7491191
345,345,9341,6.0,92.5781,0.1764787,2.368268,0.02156466,1.035968,0.7770756,-0.07765058,2.726836,1.629257e-05,1.079015,0.3290365,0.787615
350,350,6137,1.0,91.6856,0.1737214,2.167093,0.02220906,1.049963,0.7317922,-0.40106,2.682867,-0.0003407716,0.9435034,0.3670725,0.6938256
351,351,5341,6.0,92.4947,0.1737214,2.167093,0.02220906,1.049963,0.7317922,-0.40106,2.956189,-0.0001629024,0.8086199,0.3670725,0.6938256
352,352,6963,2.0,92.6727,0.1819686,2.146778,0.02084288,0.9673155,0.7342966,-0.4753805,3.004642,-0.0001587916,0.8084841,0.3773346,0.684884
358,358,8951,4.0,90.5427,0.1745648,2.180665,0.02093719,0.9642039,0.6950009,-0.4945605,2.068336,2.256228e-05,1.136746,0.4060776,0.6679771
359,359,8522,1.0,90.5694,0.1724833,2.218879,0.02089199,1.004622,0.7002621,0.3252335,2.049681,1.105577e-05,1.091107,0.3956615,0.6905346
360,360,8459,1.0,90.7531,0.1724833,2.218879,0.02089199,1.004622,0.7002621,0.3252335,2.035473,-0.0001617126,0.9780853,0.3956615,0.6905346
362,362,9073,2.0,90.5893,0.1513704,2.571028,0.02149769,1.03083,0.7171509,-0.318626,2.031658,-0.0002506064,1.006234,0.3373719,0.7762119
364,364,5232,7.0,92.2389,0.1418552,2.827979,0.02326666,1.031921,0.724158,-0.07879807,2.034792,-0.0001746707,1.081955,0.3161031,0.8403871
365,365,6212,22.0,89.9877,0.1831349,2.320652,0.02386659,0.9455884,0.7569932,-0.3414584,2.002168,-0.0001743627,1.108445,0.3623588,0.7346623
366,366,7899,6.0,89.8705,0.1613225,2.573266,0.02213131,0.9673055,0.7848765,-0.5510814,2.025208,-0.0001750325,1.113098,0.2988452,0.8003356
370,370,9292,1.0,91.0482,0.1367122,2.741963,0.02171327,1.112345,0.8090475,-0.4376231,2.242137,-0.0003491445,0.9933745,0.2430185,0.850761
371,371,6584,2.0,92.3339,0.1367122,2.741963,0.02171327,1.112345,0.8090475,-0.4376231,2.040064,-0.0004147586,1.092467,0.2430185,0.850761
376,376,5280,3.0,91.6745,0.1348317,2.743566,0.01963347,0.9617597,0.7064673,-0.3052088,2.212963,-0.0002714347,1.030338,0.3107805,0.7741549
378,378,7944,12.0,89.6007,0.1405639,2.392242,0.0209165,1.036056,0.6424505,-0.3248495,2.723256,-1.592181e-05,0.9811803,0.392798,0.6611339
381,381,7775,6.0,91.6589,0.1405639,2.392242,0.0209165,1.036056,0.6424505,-0.3248495,2.789156,-0.0003008048,1.201794,0.392798,0.6611339
384,384,8085,3.0,91.4935,0.1538194,2.259922,0.02027673,0.9126426,0.6410686,0.1804207,2.991423,-0.0002651773,1.044748,0.4251909,0.6230733
387,387,8134,1.0,91.5455,0.1380423,2.610223,0.02040041,0.9176479,0.6808182,-0.1724848,2.923797,-0.0001871522,0.914687,0.3432195,0.7108613
388,388,9154,9.0,91.942,0.1380423,2.610223,0.02040041,0.9176479,0.6808182,-0.1724848,3.0227,-0.0003885665,1.125885,0.3432195,0.7108613
389,389,5602,21.0,91.5135,0.1380423,2.610223,0.02040041,0.9176479,0.6808182,-0.1724848,3.029514,-0.0003131107,1.144593,0.3432195,0.7108613
392,392,8922,3.0,94.246,0.1249688,3.073704,0.02148392,0.8962746,0.7315933,-0.04452161,3.058911,-0.0003515423,1.123363,0.2748299,0.8423338
393,393,7094,6.0,92.5481,0.0997006,3.185201,0.02255065,0.9812894,0.6665749,-0.1274572,3.06855,-0.0003443901,1.120624,0.2765908,0.7715022
397,397,7770,9.0,92.4759,0.0978194,3.345589,0.02260083,0.9665476,0.6841668,0.1721306,2.642573,-0.0002550135,0.9237617,0.258638,0.8242518
410,410,9877,1.0,94.3213,0.163115,1.836592,0.02117094,1.157298,0.7213565,-0.5806832,2.327255,-0.0003055599,1.073405,0.355392,0.5979907
419,419,5774,2.0,94.7898,0.2069195,1.870802,0.01886435,0.8539846,0.705937,0.5139034,2.566203,-0.0004594574,1.017139,0.4543582,0.6042213
421,421,9876,6.0,94.0277,0.2069195,1.870802,0.01886435,0.8539846,0.705937,0.5139034,2.98719,-3.964707e-05,0.95306,0.4543582,0.6042213
424,424,7369,3.0,92.7285,0.1895272,2.112938,0.01996872,0.908181,0.7803747,0.5605984,3.026448,9.606533e-05,0.9356562,0.3450664,0.6856282
426,426,5293,25.0,93.0589,0.1632405,2.499096,0.01971297,0.7783246,0.8022927,-0.06283403,3.117289,0.0001208356,0.9573114,0.2852341,0.7275685
437,437,6107,2.0,91.1839,0.1987611,1.99801,0.02254453,0.9476835,0.7393732,0.05328572,2.669977,0.0002684546,0.8673244,0.4060011,0.6542134
439,439,8013,1.0,92.6157,0.1527368,2.410353,0.02138306,1.052938,0.7145862,-0.3542933,2.700969,0.0002728619,0.876903,0.3422494,0.7270226
440,440,6481,1.0,92.6794,0.09592092,3.463473,0.02060735,1.061242,0.7251681,-0.4209857,2.769286,0.0002800608,0.8676845,0.2228168,0.9194493
445,445,8345,3.0,91.6734,0.07797848,3.544938,0.02113287,1.139535,0.6579035,-0.6699499,2.811081,0.0002006438,0.9446933,0.2304689,0.8272616
448,448,6578,3.0,90.1439,0.1299475,2.411886,0.0200375,1.229993,0.6800858,-0.1490615,2.279853,-6.211484e-05,1.028363,0.3256729,0.7082327
452,452,9068,3.0,90.1574,0.1699555,1.9817,0.01906419,0.9863316,0.6703791,-0.5218876,2.482955,2.427901e-05,1.048201,0.4220303,0.6023219
459,459,9420,2.0,91.5675,0.104078,2.79681,0.01942942,1.15804,0.6564269,-0.4945398,2.753096,4.926963e-05,1.127391,0.2881241,0.715622
467,467,6801,2.0,92.4761,0.1419778,2.489625,0.02198161,1.066231,0.7107138,0.1443338,2.830197,-1.290603e-05,1.176228,0.3258739,0.7237106
468,468,7691,2.0,91.8691,0.1437375,2.119702,0.02238329,1.110396,0.6463467,-0.1515979,2.836171,-5.68559e-06,1.188177,0.3991845,0.5968341
470,470,5255,1.0,96.0424,0.145009,2.04017,0.02311388,1.066894,0.6690697,0.1554765,3.026631,-2.801476e-05,1.204145,0.377003,0.5699279
483,483,9773,1.0,90.7749,0.06907233,3.939183,0.02267901,1.167139,0.6680095,-1.341227,2.318055,-3.106944e-05,1.093862,0.2070549,0.9149575
485,485,8447,8.0,91.3781,0.06907233,3.939183,0.02267901,1.167139,0.6680095,-1.341227,2.546745,-0.0001543412,1.121848,0.2070549,0.9149575
486,486,8702,1.0,90.776,0.06907233,3.939183,0.02267901,1.167139,0.6680095,-1.341227,2.310029,-0.0001397098,1.089349,0.2070549,0.9149575
489,489,9015,4.0,92.7477,0.07193323,3.752082,0.0213648,1.240056,0.695177,-0.6164944,2.539168,-0.0003019189,0.9281159,0.1943882,0.9027816
496,496,8134,2.0,95.2697,0.1670789,2.54732,0.02043029,1.071289,0.8001222,0.2744694,2.00058,-0.0003668497,0.8900143,0.2938999,0.8635021
499,499,5233,1.0,91.4086,0.1095417,3.101309,0.01966993,1.095967,0.7681069,-0.2545512,2.252513,-0.0001533005,0.9712588,0.220099,0.8724435
502,502,5677,2.0,90.0713,0.1409943,2.594021,0.01907583,1.077249,0.773,-0.5236986,2.092243,-9.722136e-05,0.9064067,0.2689648,0.7988995
507,507,6132,3.0,93.043,0.1842663,2.011292,0.01963357,0.9849927,0.7449325,-0.5673933,2.503766,-0.000394197,0.82161,0.3685979,0.657887
511,511,9095,1.0,92.5067,0.1649341,2.322655,0.01955465,0.9987894,0.7517118,-0.5871902,2.991811,-0.0002759434,0.8048075,0.3276278,0.7302621
517,517,6665,5.0,91.6837,0.1826307,1.856268,0.01990432,1.191679,0.8055314,0.09780567,2.367267,-0.0001666915,0.9883459,0.3131225,0.689916
518,518,8168,5.0,90.6943,0.1409308,2.500171,0.02003771,1.219891,0.7840007,-0.08847298,2.413118,-0.0001574427,0.9886636,0.2629314,0.8145894
520,520,8120,7.0,91.8133,0.1409308,2.500171,0.02003771,1.219891,0.7840007,-0.08847298,2.358969,-8.315017e-06,1.166109,0.2629314,0.8145894
525,525,9950,2.0,93.0985,0.1336342,2.80172,0.01970701,1.115349,0.7837205,-0.686561,2.508365,0.0003499399,0.9523936,0.2507016,0.8709908
529,529,9913,1.0,92.5078,0.1835664,1.981461,0.01975414,0.972261,0.7812088,-0.6895793,2.32701,0.0001737075,1.13994,0.3342111,0.6520126
533,533,7861,3.0,92.1927,0.1952292,2.188248,0.02174719,0.830506,0.8087599,-0.8564241,2.445819,0.0001552024,1.226286,0.332706,0.6955817
535,535,9551,1.0,92.0271,0.2306456,1.750169,0.02169959,0.8378929,0.7783398,-0.1829233,2.416059,0.0001415922,1.19617,0.4176032,0.6028349
537,537,7895,4.0,89.9563,0.202398,2.085519,0.02143199,0.8911515,0.7959939,-0.5441872,2.605407,1.264567e-05,0.9835689,0.3542802,0.691866
541,541,7214,2.0,91.6939,0.195836,2.293173,0.0202658,0.8685726,0.789896,-0.831196,2.634206,-4.295011e-05,1.093424,0.3473851,0.7500839
550,550,9023,1.0,92.6858,0.1146896,3.020085,0.0189631,1.03651,0.8165059,-1.702265,2.999299,-0.0001614555,0.9673003,0.2014406,0.857357
551,551,8294,29.0,92.0764,0.1146896,3.020085,0.0189631,1.03651,0.8165059,-1.702265,2.728622,5.114801e-05,0.994024,0.2014406,0.857357
552,552,8154,8.0,92.2719,0.1146896,3.020085,0.0189631,1.03651,0.8165059,-1.702265,2.914794,0.0001059351,1.003733,0.2014406,0.857357
566,566,6445,4.0,91.5553,0.2106795,2.156539,0.02521752,0.7205762,0.7892505,-1.005327,2.817432,8.514086e-05,0.9872102,0.3797319,0.6581584
567,567,8950,10.0,92.9788,0.1699383,2.706964,0.02563028,0.7234734,0.7968684,-1.310781,2.856626,9.781342e-05,0.9946342,0.3089967,0.7737273
574,574,9451,2.0,90.3462,0.1604477,2.364872,0.02262566,0.9409103,0.7027815,-0.5911203,2.462727,-0.0001337411,1.060321,0.3719716,0.6868746
583,583,7044,4.0,90.2289,0.1638242,1.955853,0.01930668,1.10763,0.6722197,-0.6070608,2.369147,2.934604e-05,0.9601455,0.4066905,0.6138273
589,589,8231,4.0,92.3209,0.1199405,2.505236,0.01933624,1.154257,0.6984667,-0.7388384,2.914544,-9.003011e-05,0.9639163,0.2868079,0.6915714
597,597,7466,2.0,93.2119,0.09143151,3.416809,0.0201261,1.209297,0.7263393,-0.6363383,2.632813,-0.000334397,1.262349,0.212677,0.9265955
601,601,5357,2.0,92.7361,0.06635943,3.955641,0.02037931,1.163959,0.691504,-1.302003,2.274927,-0.0001812196,1.134016,0.1827414,0.9192929
607,607,8418,26.0,93.8307,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.242848,0.0002152703,0.9760765,0.1308396,1.077649
608,608,9529,1.0,92.7989,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.344502,9.335056e-05,0.9293814,0.1308396,1.077649
615,615,8311,7.0,92.9927,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.5157,5.501735e-05,0.9485161,0.1308396,1.077649
619,619,5595,1.0,92.9272,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.569505,0.000107244,1.061725,0.1308396,1.077649
624,624,9902,2.0,93.5853,0.05545258,4.573195,0.02004159,1.073966,0.6955801,-2.14164,2.468492,-0.0002827068,1.032483,0.1573653,1.054131
627,627,8329,1.0,93.1688,0.05639349,4.573646,0.02159882,1.001275,0.7270445,-2.281605,2.370793,-0.0001244928,1.093589,0.1487654,1.029627
631,631,5104,5.0,91.6791,0.05412891,4.487232,0.02098732,1.156378,0.690964,-1.672832,2.348814,-7.796223e-05,1.115908,0.1586833,1.005824
634,634,8637,5.0,92.3319,0.05412891,4.487232,0.02098732,1.156378,0.690964,-1.672832,2.786404,-1.324565e-05,1.158896,0.1586833,1.005824
639,639,6777,1.0,93.0334,0.0680696,3.807459,0.02128585,1.277402,0.6867131,-1.643796,2.247847,0.0001876086,1.208271,0.190849,0.899436
640,640,5310,1.0,93.0282,0.0680696,3.807459,0.02128585,1.277402,0.6867131,-1.643796,2.479217,0.0001381903,1.187508,0.190849,0.899436
641,641,6085,7.0,92.8128,0.0680696,3.807459,0.02128585,1.277402,0.6867131,-1.643796,2.361997,-4.045892e-05,1.194033,0.190849,0.899436
643,643,5790,1.0,93.5538,0.0680696,3.807459,0.02128585,1.277402,0.6867131,-1.643796,2.336316,4.012337e-05,1.267069,0.190849,0.899436
647,647,9224,2.0,93.2752,0.05260733,4.410991,0.02089292,1.16732,0.6674016,-1.510305,2.869903,0.0002513366,0.888173,0.1664576,0.9460177
652,652,8953,8.0,90.8505,0.05668871,4.452195,0.02000556,1.063345,0.6511535,-1.191574,2.956981,3.862879e-05,0.9278841,0.1824015,1.001166
653,653,7365,1.0,91.6568,0.05668871,4.452195,0.02000556,1.063345,0.6511535,-1.191574,2.621757,0.0001137845,0.9278697,0.1824015,1.001166
654,654,8820,4.0,90.7674,0.05668871,4.452195,0.02000556,1.063345,0.6511535,-1.191574,2.53385,1.362752e-05,0.878864,0.1824015,1.001166
656,656,9706,7.0,91.9543,0.05493913,4.656683,0.02058538,1.006794,0.6838772,-1.241705,2.652455,-0.000109368,0.9175318,0.1628621,1.060644
662,662,8759,1.0,92.6042,0.06469597,4.394257,0.02303253,1.03356,0.7024432,-1.468352,2.500924,6.348404e-05,1.071423,0.1790999,1.045038
665,665,7971,1.0,93.1899,0.06469597,4.394257,0.02303253,1.03356,0.7024432,-1.468352,2.695688,5.385699e-05,1.049106,0.1790999,1.045038
668,668,9298,1.0,94.7503,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.57106,-0.0001537216,0.6818824,0.1663189,0.987887
670,670,6960,9.0,91.8909,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.798005,-7.366326e-05,0.8401395,0.1663189,0.987887
688,688,5599,3.0,90.7105,0.06293009,4.370183,0.02159741,1.05788,0.6811687,-0.9874513,2.530877,5.698963e-05,1.161225,0.1835632,1.030023
694,694,7031,4.0,92.2701,0.0704474,4.126922,0.02171873,1.060253,0.7104904,-1.068567,3.020705,-5.854175e-05,1.198952,0.1838568,1.001547
698,698,5952,5.0,92.0776,0.1252282,2.815793,0.02363164,0.9939857,0.655227,-0.2769361,3.041434,1.840613e-05,1.093827,0.3482323,0.738653
703,703,5730,7.0,90.5832,0.1085069,2.948912,0.02337148,1.165932,0.7038745,-0.4167801,2.559458,5.400756e-05,0.8972828,0.2674848,0.7853485
704,704,8565,4.0,90.3768,0.1085069,2.948912,0.02337148,1.165932,0.7038745,-0.4167801,2.321425,-3.79587e-05,1.033807,0.2674848,0.7853485
718,718,5918,1.0,92.455,0.1293072,2.367096,0.02529692,1.123209,0.6532811,-0.04346044,2.602073,0.0001324086,1.108494,0.3637699,0.6247864
723,723,6759,2.0,92.4172,0.09752201,3.41489,0.02000478,0.9959738,0.6877268,-0.7177266,3.029999,0.0001310505,1.126364,0.2498496,0.8815776
727,727,6686,5.0,92.3859,0.07730663,3.829323,0.02004864,0.9506783,0.6661602,-0.7056923,2.773188,0.0003045846,0.9570311,0.220834,0.9006041
729,729,6790,2.0,91.1895,0.147632,2.337408,0.01952132,1.040587,0.697263,-0.4645798,2.633466,0.000278505,0.962674,0.3451375,0.6875466
731,731,7556,4.0,90.2748,0.147632,2.337408,0.01952132,1.040587,0.697263,-0.4645798,2.753864,-0.0001051087,0.98938,0.3451375,0.6875466
