,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
4,4,7532,3.0,95.1837,0.2041907,1.789493,0.02406608,0.8400776,0.7140757,-1.225934,2.232853,-0.0002712893,0.8210839,0.4489098,0.5573303
8,8,8674,3.0,90.3508,0.1580171,2.344104,0.02472888,1.132068,0.7355185,-0.3197889,2.18255,-4.31559e-06,1.160161,0.3389914,0.7339325
26,26,8828,5.0,91.4211,0.2135262,1.894414,0.02157576,0.8000711,0.6722205,0.07550255,2.513482,5.758373e-05,1.006946,0.5217001,0.5865094
29,29,6283,6.0,93.1332,0.2145119,1.795367,0.02235337,0.8412704,0.6830197,-0.5742465,2.821746,-2.826411e-05,0.7126436,0.5091132,0.5696644
31,31,5097,10.0,90.5425,0.2145119,1.795367,0.02235337,0.8412704,0.6830197,-0.5742465,2.636843,0.0001461727,1.005652,0.5091132,0.5696644
45,45,8020,9.0,90.9284,0.228112,2.024561,0.02176925,0.7149424,0.762131,-0.5355946,2.755125,0.0001865702,0.9339936,0.4313129,0.6448891
46,46,5360,5.0,90.9666,0.228112,2.024561,0.02176925,0.7149424,0.762131,-0.5355946,2.75624,0.0002189725,1.090814,0.4313129,0.6448891
48,48,7449,10.0,94.3093,0.2356874,1.965306,0.01959606,0.7296691,0.7474848,-0.6649745,2.421477,2.820359e-05,0.7379819,0.4580496,0.6435715
52,52,5267,8.0,93.3451,0.2356874,1.965306,0.01959606,0.7296691,0.7474848,-0.6649745,2.004491,0.0003164002,1.039495,0.4580496,0.6435715
54,54,6643,8.0,93.4976,0.2356874,1.965306,0.01959606,0.7296691,0.7474848,-0.6649745,3.03291,-0.0001543065,1.239833,0.4580496,0.6435715
60,60,5358,5.0,91.8565,0.1639603,2.493312,0.02094193,0.7752507,0.7531047,-1.173325,2.69615,2.873951e-05,1.143857,0.3271461,0.711316
61,61,7323,2.0,94.5163,0.1878573,2.123704,0.02173483,0.7655535,0.7863556,-1.105298,2.679568,2.642463e-05,1.137049,0.3399927,0.6360378
62,62,5502,10.0,90.8452,0.162994,2.747229,0.02224935,0.8210463,0.7989936,-0.8104138,2.695389,2.742716e-05,1.137036,0.2911814,0.8236549
75,75,5805,15.0,92.8153,0.133047,2.816055,0.0241241,1.172744,0.7779794,-0.334744,2.106701,0.0004103478,0.8479154,0.2607431,0.8672136
77,77,8965,9.0,91.9326,0.1541863,2.198917,0.02186789,1.193148,0.6688167,0.03264877,2.03999,0.0001214749,0.9968964,0.3950191,0.6816115
79,79,7698,6.0,92.3057,0.1657981,1.905871,0.02105822,1.16418,0.6691234,0.1042254,2.139774,0.0004112587,1.135844,0.4187838,0.6093673
85,85,9744,6.0,91.878,0.1235002,2.863623,0.02174992,0.9694,0.6735953,-0.3765821,2.21871,-0.0002868963,1.035921,0.3215438,0.7593801
86,86,6519,6.0,90.3206,0.1235002,2.863623,0.02174992,0.9694,0.6735953,-0.3765821,2.465287,-0.0002528107,1.048953,0.3215438,0.7593801
96,96,7889,1.0,95.0323,0.07456078,3.907286,0.023397,0.8053449,0.6870225,-1.789342,2.795964,1.801384e-05,1.04502,0.2089024,0.8471605
100,100,8082,4.0,92.5526,0.1035681,2.995165,0.02573269,1.180382,0.7217493,-0.6695494,2.348787,1.689982e-05,1.21908,0.2494517,0.771814
102,102,9694,2.0,91.6932,0.1420529,2.365233,0.02601425,1.18683,0.7062915,-0.7151171,2.314524,-0.0001564345,1.203895,0.338202,0.6955517
103,103,9801,2.0,93.3933,0.133424,2.275443,0.02437511,1.106238,0.662471,-1.275771,2.28939,-0.0001307633,1.180328,0.3610272,0.6115285
105,105,5802,8.0,92.0438,0.1228321,2.641527,0.02425694,1.094257,0.6999707,-1.268378,2.51394,4.119257e-05,1.192748,0.3015214,0.7049044
110,110,6240,6.0,92.7043,0.1202276,2.528435,0.02342077,1.201609,0.6704634,-1.21481,2.474772,5.158668e-05,1.227604,0.3209915,0.6827781
116,116,8248,2.0,91.7471,0.1615437,1.907055,0.02203943,1.204502,0.702414,-0.3112569,2.49996,-0.0001835002,1.163707,0.3733942,0.6197073
118,118,7026,17.0,91.0526,0.1615437,1.907055,0.02203943,1.204502,0.702414,-0.3112569,2.666965,3.048499e-06,1.023021,0.3733942,0.6197073
121,121,9832,12.0,93.271,0.1859191,1.879054,0.023626,1.052084,0.7135122,0.03224695,2.878818,0.0002724741,0.8016847,0.4128646,0.6129821
125,125,8603,8.0,92.0245,0.180868,2.069631,0.0244374,1.014868,0.7396983,0.1435517,2.747242,-0.0002689374,0.836865,0.3764018,0.6575677
132,132,5156,8.0,94.3198,0.2075909,1.917535,0.02504013,1.012584,0.7243952,0.2928271,2.331581,7.081595e-05,1.178743,0.4445466,0.6478995
133,133,7745,3.0,93.6824,0.2075909,1.917535,0.02504013,1.012584,0.7243952,0.2928271,2.550257,7.480548e-06,1.179967,0.4445466,0.6478995
142,142,9667,3.0,90.5467,0.1336065,2.981852,0.02558942,0.9752524,0.7813656,-0.6519561,2.283625,4.8462e-06,1.006774,0.2618045,0.8529334
146,146,9900,9.0,91.2389,0.1351775,2.632926,0.02564068,1.114159,0.7278983,-0.5149689,2.235706,-9.381417e-05,0.7804021,0.3047403,0.7544268
150,150,5562,5.0,90.4409,0.1354348,2.619322,0.02562803,1.058559,0.7355775,-1.104428,2.314438,3.261404e-05,1.050689,0.2988627,0.7340913
151,151,7110,9.0,91.033,0.1452197,2.581249,0.02553483,0.9963408,0.7840776,-0.756659,2.2707,1.223753e-05,1.036411,0.2787979,0.7449872
155,155,8302,4.0,90.8966,0.1496257,2.764913,0.02272379,0.8795326,0.8086912,-0.6462969,2.328235,3.108594e-05,0.9102301,0.2645237,0.8100289
162,162,7015,20.0,89.9142,0.0724529,4.302268,0.02394091,1.023267,0.8152489,-1.157136,2.857513,2.70158e-06,1.058119,0.1460028,1.093106
171,171,8155,13.0,92.2774,0.08421136,3.495138,0.02320862,1.20968,0.7510186,-1.245057,2.504812,6.319203e-05,1.149767,0.1915932,0.8857988
175,175,9555,1.0,92.1106,0.1227829,2.697233,0.02025629,1.119196,0.7173003,-1.10334,2.443618,0.0001161007,0.8365615,0.2792572,0.7613854
179,179,9864,8.0,91.8773,0.1209219,2.711163,0.02103386,1.044031,0.676097,-1.256072,2.221976,0.000295086,1.018038,0.3119617,0.7195597
189,189,6390,3.0,92.8078,0.1851991,1.963259,0.01998441,0.8644633,0.7196461,-0.7050934,2.158082,-9.025913e-05,1.018944,0.3974348,0.6017936
193,193,9519,3.0,91.9961,0.1935684,2.283549,0.02381542,0.7878316,0.7433082,-0.8954968,2.67376,-7.564746e-05,1.156467,0.3946157,0.6880083
196,196,6401,1.0,92.9552,0.1744451,2.284557,0.02304813,0.8010644,0.7441104,-1.22717,2.253406,4.362185e-05,1.169841,0.3578422,0.6589732
208,208,8520,1.0,94.4134,0.1598002,1.950281,0.025308,1.155766,0.6829276,-1.247087,2.208449,0.0003130445,0.9120594,0.3982767,0.5948725
210,210,6869,6.0,96.4179,0.1598002,1.950281,0.025308,1.155766,0.6829276,-1.247087,2.328183,-0.0004316938,1.203999,0.3982767,0.5948725
211,211,8148,1.0,97.6715,0.1451177,2.096201,0.02356684,1.124086,0.7110083,-1.23545,2.371145,-0.0004292703,1.194143,0.3349508,0.6111281
213,213,6802,1.0,95.7674,0.1393528,2.677995,0.02540145,0.9927084,0.7260859,-1.424598,2.410923,-0.0004148748,1.207639,0.3137295,0.7467842
215,215,6697,1.0,93.0563,0.1393528,2.677995,0.02540145,0.9927084,0.7260859,-1.424598,2.372471,-0.0001296199,1.135319,0.3137295,0.7467842
218,218,7004,1.0,92.0696,0.1282504,2.641494,0.02317824,0.9808625,0.6916225,-1.258052,2.218401,1.518729e-05,0.9533602,0.3179167,0.6956487
224,224,6162,1.0,93.0664,0.1762342,2.343305,0.02390751,0.8209558,0.6856987,-0.6600849,2.412382,-0.0001820477,1.267263,0.4270379,0.6698288
227,227,7909,17.0,90.8989,0.1918729,2.3522,0.02447244,0.7030468,0.7179799,-0.2060475,2.77612,-0.0001087345,1.060068,0.4209341,0.675241
235,235,7359,1.0,90.9789,0.1208786,2.854342,0.02517557,1.033498,0.7177915,-0.7974445,2.67219,-0.0002253088,1.093033,0.2847269,0.7556844
238,238,6653,6.0,95.0145,0.1682246,1.85014,0.02521853,1.144708,0.6857514,-0.9428233,2.380473,-0.0003651239,1.290306,0.4127278,0.5813663
240,240,5049,1.0,92.4547,0.1872953,1.761554,0.02546268,1.083964,0.6938934,-0.5559218,3.063601,-0.0003283194,1.129373,0.4432137,0.5759657
