,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
60736,13,11212,21.0,92.9476,0.08653776,3.809163,0.02220182,1.182493,0.7917226,0.3343369,2.536157,-0.0002777544,1.182656,0.1745045,1.066905
60737,14,11731,3.0,91.0971,0.08653776,3.809163,0.02220182,1.182493,0.7917226,0.3343369,2.325994,-2.828124e-05,1.001575,0.1745045,1.066905
60738,15,13559,104.0,91.9906,0.0650053,4.415329,0.01996037,1.298152,0.7753531,0.4650185,2.214001,-4.155028e-05,1.016661,0.1424047,1.228725
60739,16,10058,1.0,90.387,0.08703019,3.442311,0.01892001,1.226235,0.7126595,-0.09283415,2.220906,-4.756077e-05,1.021817,0.2098795,0.9175444
60753,30,10323,7.0,93.834,0.06919781,4.274334,0.02058825,1.032365,0.6922809,-1.245291,2.615804,-5.928472e-05,0.8130185,0.1886899,1.061915
60758,35,10639,3.0,90.3146,0.1371769,2.665508,0.02389968,1.025113,0.757855,-0.4565252,2.633989,-0.0001255505,0.9980871,0.2815746,0.7617958
60760,37,11364,1.0,91.8781,0.07410178,3.940045,0.02367129,1.241046,0.7455377,-0.6620078,2.633556,-0.0002835096,1.05527,0.1770646,1.00678
60766,43,11897,3.0,91.523,0.0766788,3.468761,0.02046687,1.276155,0.6571666,-1.418477,2.401012,-9.98363e-06,1.027784,0.2264345,0.8321307
60775,52,13715,11.0,90.663,0.1295839,2.42162,0.02062769,1.191054,0.6672863,-0.8923322,2.159356,-6.420265e-05,1.030473,0.3387953,0.6906297
60779,56,12452,4.0,92.61,0.1198054,2.827142,0.02009807,1.00653,0.7459455,-1.025197,2.056061,-0.0001320211,1.164691,0.2525859,0.7698468
60794,71,10926,18.0,90.6558,0.1270917,2.60445,0.02355326,1.124776,0.6604016,0.07256953,2.387441,-0.0002130236,0.9435252,0.3468896,0.7081284
60799,76,12129,2.0,91.2011,0.1008356,3.034182,0.02330612,1.285334,0.7039194,0.2067904,2.169136,1.609413e-05,0.9521916,0.2518369,0.8191201
60800,77,14948,6.0,91.7685,0.1008356,3.034182,0.02330612,1.285334,0.7039194,0.2067904,2.624108,-3.752984e-05,0.9018898,0.2518369,0.8191201
60804,81,10929,11.0,91.0414,0.1503639,2.475564,0.02349682,1.020587,0.6723519,-0.5415373,2.2787,0.0002283371,0.9860847,0.3860239,0.7092162
60805,82,14997,2.0,91.4802,0.1503639,2.475564,0.02349682,1.020587,0.6723519,-0.5415373,2.667801,-9.485965e-05,0.9568378,0.3860239,0.7092162
60806,83,12206,4.0,91.5416,0.1503639,2.475564,0.02349682,1.020587,0.6723519,-0.5415373,2.440947,8.735351e-05,0.8604365,0.3860239,0.7092162
60808,85,14763,28.0,90.3792,0.09013662,3.623601,0.02415115,1.152015,0.7692449,-0.628711,2.26062,0.000181373,0.8908305,0.1942278,0.9673095
60810,87,10179,5.0,89.9275,0.09545084,3.554738,0.0253781,1.191179,0.7360043,-0.07321702,2.448168,0.0001175726,0.9221293,0.2242432,0.9730563
60811,88,12540,1.0,90.6277,0.09545084,3.554738,0.0253781,1.191179,0.7360043,-0.07321702,2.260683,2.664006e-05,0.8103878,0.2242432,0.9730563
